,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,unit,newConstructionType,listingSubType.is_newHome
0,,SINGLE_FAMILY,5466.78,"966 Palisades Beach Rd, Santa Monica, CA 90403",https://photos.zillowstatic.com/fp/64da6094eae05eba27184401e006ee69-p_e.jpg,21995000,5,-118.50533,34.01869,FOR_SALE,20485843,,-1,8,7043,USA,USD,sqft,True,True,,,,
1,,SINGLE_FAMILY,5009.4,"3118 18th St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/1da53a6661023ec0be068a6b92cc13b3-p_e.jpg,4995000,4,-118.46157,34.00883,FOR_SALE,20481276,,-1,6,4155,USA,USD,sqft,True,True,True,,,
2,,SINGLE_FAMILY,6268.284,"3216 17th St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/c3367eab737995c774ef5e0fb35388da-p_e.jpg,2395000,3,-118.464516,34.007427,FOR_SALE,20481407,,-1,3,1361,USA,USD,sqft,True,True,True,,,
3,,SINGLE_FAMILY,8908.02,"1011 Georgina Ave, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/9deb067ca51821619dc5a81157c6bda4-p_e.jpg,12499000,7,-118.50536,34.03508,FOR_SALE,20477411,,-1,9,8418,USA,USD,sqft,True,True,True,,,
4,,SINGLE_FAMILY,2500.344,"1305 Palisades Beach Rd, Santa Monica, CA 90401",https://photos.zillowstatic.com/fp/a97f9b079a3ce5a03024c5cb29fc9bda-p_e.jpg,5195000,4,-118.50015,34.014595,FOR_SALE,20484764,,-1,4,2904,USA,USD,sqft,True,True,,,,
5,,SINGLE_FAMILY,8720.712,"428 26th St, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/ac7213815ea6c32e9f376f0f08ac76f0-p_e.jpg,3999999,4,-118.48848,34.045025,FOR_SALE,20475846,,-1,4,3671,USA,USD,sqft,True,True,,,,
6,,SINGLE_FAMILY,0.34084022038567,"711 Adelaide Pl, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/c895c3cc68bc642cd0758a3f7997620d-p_e.jpg,6995000,4,-118.50851,34.03328,FOR_SALE,20477386,,-1,4,3740,USA,USD,acres,True,True,True,,,
7,,SINGLE_FAMILY,0.2855,"210 Marguerita Ave, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/02f021a5b906ae83cdc289100df8a8af-p_e.jpg,19995000,6,-118.50926,34.025703,FOR_SALE,20486282,,-1,9,10218,USA,USD,acres,True,True,,,,
8,,SINGLE_FAMILY,2648.448,"420 Ocean Park Blvd, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/4e0c2a73adfa32f8d5a3c847b7922685-p_e.jpg,2375000,4,-118.48067,34.004074,FOR_SALE,20482593,,-1,4,2425,USA,USD,sqft,True,True,,,,
9,,SINGLE_FAMILY,1668.348,"1415 23rd St, Santa Monica, CA 90404",https://photos.zillowstatic.com/fp/160cac99270a2962e90dfb59d468e180-p_e.jpg,1188000,3,-118.476875,34.03047,FOR_SALE,20473919,,-1,2,828,USA,USD,sqft,True,True,,,,
